Age,Gender,BAC,speeding5MPH,speeding10MPH,Fatality
56,M,0.017,0,0,0
38,M,0.034,0,0,1
22,F,0.0,1,0,0
71,F,0.046,1,1,0
63,F,0.0,0,0,0
90,M,0.035,0,0,3
73,F,0.036,0,0,0
15,F,0.103,1,0,0
88,F,0.042,1,0,0
51,M,0.066,1,1,2
29,M,0.039,1,0,1
66,M,0.016,0,0,0
84,M,0.019,1,0,1
63,F,0.041,0,0,0
75,F,0.006,1,1,0
71,M,0.023,0,0,2
82,M,0.042,0,0,1
18,F,0.0,0,0,0
78,F,0.052,1,0,0
42,F,0.037,0,0,0
79,M,0.058,1,0,1
72,F,0.0,0,0,0
21,F,0.071,1,1,0
52,F,0.046,0,0,0
30,F,0.015,1,1,0
69,F,0.088,0,0,0
62,M,0.026,0,0,1
45,M,0.0,0,0,3
84,F,0.028,0,0,0
52,F,0.031,0,0,0
73,M,0.029,1,0,3
46,F,0.024,0,0,0
40,M,0.052,0,0,2
57,M,0.034,1,0,2
23,F,0.012,0,0,0
85,F,0.0,1,1,0
75,M,0.052,0,0,0
43,F,0.07,1,1,0
38,F,0.136,0,0,0
31,F,0.019,1,0,0
45,M,0.034,1,1,2
58,F,0.0,0,0,0
37,F,0.03,0,0,0
18,M,0.084,1,1,1
41,M,0.088,0,0,0
21,M,0.016,1,1,1
35,M,0.042,1,0,1
28,M,0.041,0,0,1
64,M,0.056,1,0,0
80,F,0.011,0,0,0
31,M,0.0,0,0,3
24,M,0.1,0,0,0
61,F,0.013,1,1,0
69,F,0.091,0,0,0
58,F,0.03,1,0,0
23,M,0.049,1,0,2
41,F,0.076,0,0,0
89,F,0.065,0,0,0
91,F,0.026,0,0,0
30,F,0.05,0,0,0
51,F,0.004,1,0,0
59,M,0.114,0,0,0
26,F,0.062,1,1,0
89,M,0.074,0,0,1
24,M,0.042,1,1,1
59,M,0.121,0,0,1
72,M,0.039,0,0,1
46,F,0.063,1,1,0
27,F,0.029,0,0,0
73,F,0.0,0,0,0
47,F,0.074,0,0,0
56,F,0.031,0,0,0
29,F,0.0,1,0,0
52,M,0.081,1,1,0
23,M,0.078,1,1,2
60,M,0.0,0,0,1
90,M,0.052,1,1,3
36,M,0.02,0,0,1
46,M,0.15,1,0,0
60,F,0.056,1,0,0
30,M,0.041,1,1,2
